user_id,age,location,abandoned_item,previous_offer,accepted_offer
96,38,Jaffna,Phone,15% off,No
16,31,Colombo,Watch,No offer,No
31,28,Jaffna,Phone,15% off,No
159,37,Jaffna,Shoes,15% off,Yes
129,58,Kandy,Laptop,10% off,Yes
116,55,Jaffna,Shoes,Free shipping,No
70,58,Kandy,Shoes,15% off,No
171,38,Matara,Laptop,10% off,No
175,41,Colombo,Phone,No offer,No
46,20,Matara,Bag,No offer,No
67,42,Galle,Bag,Free shipping,No
183,49,Jaffna,Watch,No offer,Yes
166,28,Matara,Laptop,10% off,Yes
79,22,Colombo,Phone,15% off,Yes
187,26,Kandy,Shoes,15% off,Yes
178,21,Matara,Shoes,15% off,Yes
57,54,Galle,Shoes,15% off,No
153,34,Matara,Bag,No offer,No
83,52,Galle,Shoes,15% off,No
69,47,Colombo,Laptop,Free shipping,No
125,23,Colombo,Watch,Free shipping,No
17,32,Kandy,Bag,10% off,Yes
149,45,Colombo,Watch,15% off,Yes
94,32,Matara,Laptop,10% off,No
66,24,Matara,Shoes,15% off,Yes
61,60,Kandy,Laptop,Free shipping,No
85,28,Kandy,Watch,10% off,No
68,35,Jaffna,Watch,15% off,Yes
126,21,Colombo,Laptop,Free shipping,No
133,22,Jaffna,Bag,10% off,Yes
10,23,Kandy,Watch,15% off,Yes
19,56,Kandy,Shoes,Free shipping,Yes
56,41,Kandy,Shoes,Free shipping,Yes
76,60,Galle,Bag,No offer,No
151,47,Matara,Phone,Free shipping,No
105,49,Matara,Bag,No offer,No
136,56,Matara,Laptop,15% off,No
138,51,Colombo,Phone,15% off,Yes
165,41,Jaffna,Phone,15% off,No
77,35,Galle,Phone,10% off,Yes
80,56,Matara,Phone,Free shipping,No
198,30,Kandy,Bag,Free shipping,Yes
39,23,Colombo,Laptop,15% off,Yes
25,44,Matara,Bag,15% off,No
123,50,Jaffna,Watch,No offer,Yes
196,31,Matara,Phone,No offer,Yes
30,18,Galle,Laptop,Free shipping,Yes
20,19,Colombo,Laptop,No offer,No
144,35,Kandy,Shoes,No offer,No
87,42,Matara,Bag,10% off,No
115,34,Matara,Watch,No offer,Yes
174,25,Matara,Phone,Free shipping,No
6,32,Kandy,Shoes,Free shipping,No
127,25,Colombo,Watch,Free shipping,Yes
118,55,Matara,Phone,10% off,Yes
74,40,Jaffna,Phone,10% off,No
141,18,Colombo,Bag,Free shipping,No
99,22,Jaffna,Laptop,15% off,No
173,19,Matara,Phone,No offer,No
97,43,Kandy,Phone,No offer,No
170,56,Matara,Watch,15% off,No
98,35,Kandy,Watch,Free shipping,No
32,45,Jaffna,Bag,No offer,No
13,20,Kandy,Phone,Free shipping,No
36,31,Kandy,Bag,10% off,No
120,41,Colombo,Shoes,15% off,Yes
43,40,Kandy,Bag,10% off,No
190,53,Kandy,Shoes,15% off,Yes
91,32,Galle,Phone,No offer,No
137,47,Matara,Watch,Free shipping,Yes
52,53,Matara,Bag,Free shipping,No
128,27,Galle,Phone,No offer,No
163,30,Kandy,Phone,No offer,No
42,40,Kandy,Phone,10% off,No
119,43,Jaffna,Phone,Free shipping,Yes
114,52,Colombo,Bag,10% off,No
27,46,Colombo,Phone,Free shipping,No
140,53,Kandy,Phone,Free shipping,No
101,54,Kandy,Laptop,10% off,No
112,33,Matara,Bag,15% off,Yes
3,19,Galle,Laptop,10% off,Yes
78,59,Matara,Shoes,10% off,No
47,47,Galle,Watch,Free shipping,No
188,60,Matara,Phone,10% off,No
192,34,Kandy,Laptop,No offer,No
86,47,Colombo,Shoes,10% off,Yes
162,56,Kandy,Bag,Free shipping,No
37,39,Matara,Shoes,15% off,No
191,28,Jaffna,Laptop,Free shipping,No
62,32,Jaffna,Phone,15% off,Yes
23,59,Galle,Phone,Free shipping,Yes
142,25,Jaffna,Bag,15% off,Yes
102,38,Jaffna,Phone,10% off,Yes
34,35,Colombo,Watch,10% off,Yes
12,45,Jaffna,Bag,15% off,No
195,45,Kandy,Bag,15% off,Yes
160,58,Matara,Bag,10% off,No
7,26,Kandy,Laptop,10% off,Yes
28,55,Galle,Bag,15% off,No
121,32,Matara,Watch,15% off,No
5,33,Colombo,Laptop,No offer,No
33,39,Matara,Bag,No offer,No
143,52,Jaffna,Watch,Free shipping,No
146,39,Galle,Phone,Free shipping,No
110,34,Matara,Bag,10% off,No
