user_id,cart_value,items,time_of_day,user_history,offer_shown,reward
1,5849.8,Earbuds,night,5,20% discount,1
2,7448.52,Jeans,morning,7,10% discount,0
3,2472.51,Adidas Running Shoes,afternoon,8,10% discount,0
4,3455.36,Backpack,evening,6,5% discount,0
5,21773.4,Wristband|Wristband|Sports Cap,night,1,20% discount,0
6,5077.65,Phone Case|Phone Case,morning,2,20% discount,0
7,13050.67,Cushion|Phone Case|Nike Shoes,evening,9,20% discount,0
8,16311.39,T-Shirt|Coffee Mug|Jacket,afternoon,0,Free Shipping,0
9,5519.5,Sports Cap,night,8,20% discount,1
10,9542.76,Cushion,afternoon,4,10% discount,0
11,6706.06,Earbuds,evening,10,10% discount,0
12,14907.28,Jacket|T-Shirt,morning,2,Free Shipping,1
13,9296.3,Nike Shoes|Jacket,evening,3,10% discount,1
14,10044.23,Sports Cap|Wristband,night,5,Free Shipping,1
15,6823.79,Puma Sneakers|Adidas Running Shoes,morning,2,10% discount,1
16,4961.21,Jeans,afternoon,9,Free Shipping,0
17,8738.89,Puma Sneakers,morning,4,10% discount,1
18,5604.55,Phone Case,night,6,Free Shipping,0
19,6931.21,Puma Sneakers,morning,1,10% discount,0
20,2836.77,Nike Shoes,afternoon,6,5% discount,0
21,8092.58,Backpack,night,2,5% discount,0
22,9344.46,Coffee Mug,morning,3,10% discount,0
23,7137.98,Adidas Running Shoes,night,10,10% discount,1
24,9429.47,Coffee Mug,evening,7,10% discount,0
25,9973.59,Jeans,evening,7,Free Shipping,1
26,7355.29,Earbuds,morning,1,5% discount,1
27,20054.77,Puma Sneakers|Puma Sneakers|Jacket,evening,6,10% discount,1
28,9179.82,Earbuds,evening,9,5% discount,0
29,2021.11,Wristband,evening,3,5% discount,0
30,4179.05,Earbuds,afternoon,4,20% discount,1
31,2127.51,Jacket,afternoon,3,10% discount,0
32,17677.82,T-Shirt|Earbuds,evening,7,5% discount,0
33,8121.46,Cushion|Phone Case,evening,3,20% discount,1
34,2049.81,Phone Case,morning,10,20% discount,1
35,4817.41,Jacket,evening,4,5% discount,0
36,17293.21,T-Shirt|Jeans,night,1,Free Shipping,0
37,4380.65,Wristband,evening,0,20% discount,0
38,6502.36,Jeans|Jacket,morning,0,Free Shipping,1
39,6627.93,Adidas Running Shoes,night,9,5% discount,0
40,14869.97,Earbuds|T-Shirt|Jeans,afternoon,9,5% discount,0
41,4813.42,Jeans|Puma Sneakers,evening,6,10% discount,0
42,4812.11,Adidas Running Shoes,night,9,5% discount,1
43,5805.39,Puma Sneakers,afternoon,6,Free Shipping,0
44,3846.96,Adidas Running Shoes,night,2,10% discount,1
45,1180.13,Puma Sneakers,afternoon,4,20% discount,0
46,18276.21,Backpack|Nike Shoes,night,7,Free Shipping,0
47,6919.52,Backpack,afternoon,0,Free Shipping,0
48,7307.33,Wristband,evening,0,5% discount,0
49,9030.56,Wristband|Adidas Running Shoes|Coffee Mug,afternoon,9,5% discount,0
50,4241.79,Earbuds,afternoon,5,Free Shipping,0
51,9237.6,Sports Cap,morning,7,20% discount,1
52,25424.03,Nike Shoes|Jacket|Adidas Running Shoes,morning,7,20% discount,1
53,8632.2,Wristband|Adidas Running Shoes,night,3,Free Shipping,0
54,5241.75,Sports Cap,afternoon,3,Free Shipping,0
55,7238.75,Jacket,evening,3,5% discount,1
56,9134.98,Wristband,night,2,20% discount,0
57,3403.6,Phone Case,morning,0,Free Shipping,0
58,8149.37,Adidas Running Shoes,afternoon,7,Free Shipping,1
59,4068.8,Adidas Running Shoes,evening,8,10% discount,0
60,1402.37,Sports Cap,afternoon,2,20% discount,1
61,4780.73,Phone Case,evening,4,5% discount,1
62,9099.2,Coffee Mug,afternoon,4,10% discount,0
63,17138.08,Coffee Mug|Adidas Running Shoes|Nike Shoes,evening,5,5% discount,1
64,1035.94,Jeans,afternoon,3,5% discount,0
65,8546.89,Jacket,afternoon,6,5% discount,0
66,7955.91,Jacket,evening,10,10% discount,0
67,2409.72,Backpack,evening,9,20% discount,1
68,10786.76,Cushion|Jacket,afternoon,9,20% discount,1
69,9705.36,Cushion|Backpack,afternoon,10,10% discount,1
70,14848.4,T-Shirt|Jacket,afternoon,8,5% discount,1
71,11683.99,Sports Cap|Coffee Mug,evening,2,Free Shipping,0
72,11197.23,Adidas Running Shoes|T-Shirt,afternoon,5,20% discount,1
